,discount,features,name,price,ram,rating
0,12% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.9 cm (6.26 inch) FHD+ Display
12MP + 5MP | 20MP + 2MP Dual Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 636 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Redmi Note 6 Pro (Black, 64 GB)","₹13,999",none,4.6 
1,11% off,"6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.9 cm (6.26 inch) FHD+ Display
12MP + 5MP | 20MP + 2MP Dual Front Camera
4000 mAh Li-polymer Battery
Qualcomm Snapdragon 636 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Redmi Note 6 Pro (Black, 64 GB)","₹15,999",none,4.7 
2,38% off,"3 GB RAM | 64 GB ROM | Expandable Upto 256 GB
13.97 cm (5.5 inch) Full HD Display
13MP Rear Camera | 8MP Front Camera
3300 mAh Li-ion Battery
Exynos 7870 Octa Core 1.6 GHz Processor
Brand Warranty of 1 Year
","Samsung Galaxy On Nxt (Gold, 64 GB)","₹10,990",none,4.2 
3,40% off,"32 MB RAM | 32 MB ROM |
6.1 cm (2.4 inch) Display
0.08MP Rear Camera
1050 mAh Battery
10 Days Replacement Warranty
",Niamia Cad 3,"₹1,950",none,none
4,22% off,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
14.22 cm (5.6 inch) HD+ Display
13MP Rear Camera | 8MP Front Camera
3000 mAh Battery
1.6 GHz Exynos Octa Core Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Samsung Galaxy On6 (Blue, 64 GB)","₹11,990",none,4.3 
5,33% off,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
13.84 cm (5.45 inch) Display
13MP Rear Camera | 5MP Front Camera
3020 mAh Battery
Mediatek MT6739 Cortex A53 Processor
12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable
","Honor 7S (Black, 16 GB)","₹5,999",none,4.1 
6,33% off,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
13.84 cm (5.45 inch) Display
13MP Rear Camera | 5MP Front Camera
3020 mAh Battery
Mediatek MT6739 Cortex A53 Processor
12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable
","Honor 7S (Blue, 16 GB)","₹5,999",none,4.1 
7,27% off,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) HD+ Display
13MP + 2MP | 8.0MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon Octa Core Processor
12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable
","Honor 7A (Gold, 32 GB)","₹7,999",none,4.2 
8,27% off,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) HD+ Display
13MP + 2MP | 8.0MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon Octa Core Processor
12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable
","Honor 7A (Black, 32 GB)","₹7,999",none,4.2 
9,11% off,"2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4230 mAh Li-ion Battery
Qualcomm Snapdragon 450 Octa Core 1.8 GHz Processor
Notch Full Screen Display
Face Unlock
Triple Slot (Dual Active 4G SIMs + Dedicated Memory)
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
","Realme C1 (Mirror Black, 16 GB)","₹7,999",none,4.5 
